Gymnast,floor.n1,floor.n2,floor.t1,floor.t2,pommel.n1,pommel.n2,pommel.t1,pommel.t2,rings.n1,rings.n2,rings.t1,rings.t2,vault.n1,vault.n2,vault.t1,vault.t2,pbars.n1,pbars.n2,pbars.t1,pbars.t2,highbar.n1,highbar.n2,highbar.t1,highbar.t2,aa.n1,aa.n2,aa.t1,aa.t2
Fred Richard,14.6,14.9,14.7,14,12.85,13.3,13.45,13.6,14,14.3,13.8,13.85,14.2,14.4,14.2,14.2,14.3,14.6,15.05,14.8,14.4,14.4,14.4,14.45,84.35,85.9,85.6,84.9
Brody Malone,14,13.6,13.75,14.35,14.1,14,13.45,13.95,14.4,14.85,14.25,14.3,14,14.4,14.6,14.7,14.55,14.9,14.75,14.75,14.9,14.6,14.3,13.15,85.95,86.35,85.1,85.2
Shane Wiskus,14.45,14.15,14.35,14.6,13.6,13.7,13.55,13.7,13.05,14.2,13.95,14.15,14.3,14.3,14.4,14.5,14.5,14.95,14.5,14.5,13.5,13.5,13.55,13.9,83.4,84.8,84.3,85.35
Paul Juda,14.75,13.7,14.6,14.25,13.9,14,14.05,14.25,13.95,13.95,13.8,13.85,13.55,14.7,14.2,14.7,14.15,14.05,14.05,13.85,12.45,14,13.45,13.8,82.75,84.4,84.15,84.7
Asher Hong,13.9,13.5,14.35,14.15,11.75,12.95,12.8,11.75,14.5,14.55,14.45,14.7,14,14.55,14.35,15.25,14.75,14.75,14.65,14.9,13.35,12.45,13.1,13.2,82.25,82.75,83.7,83.95
Fuzzy Benas,14,13.9,13.95,14.1,13.75,13.9,13.45,13.7,13.2,13.85,13.45,13.65,13.95,13.45,14.15,13.9,13.65,14.35,14.45,13.85,13.05,13.45,13.65,13.7,81.6,82.9,83.1,82.9
Donnell Whittenburg,13.9,14.3,13.65,14.85,13,13.15,12.35,13.05,14.35,14.6,14.15,14.6,14.45,14.6,13.7,14.9,14.4,14.5,14.1,14.2,13.4,12.35,13,13.15,83.5,83.5,80.95,84.75
Cameron Bock,13.5,13.65,14.15,13.65,14.1,13.9,14,13.9,13.9,13.8,13.7,13.7,13.95,14.1,14,12.95,13.45,14.9,14.35,14.2,13.85,13.75,13.25,13.75,82.75,84.1,83.45,82.15
Yul Moldauer,14.6,14.7,14.2,13.7,12.55,13.7,13.1,12.9,14,14.1,13.85,13.8,12.65,14.55,14.5,14.1,15.4,15.4,15.15,14.1,13.25,13.3,12.9,13,82.45,85.75,83.7,81.6
Colt Walker,13.6,14.1,12.7,13.85,13.65,13.85,13.25,13.9,13.8,13.8,13.65,13.7,14.05,13.8,14.2,14.2,14.95,14.85,14.85,14.8,13.45,12.9,11.95,12.15,83.5,83.3,80.6,82.6
Jeremy Bischoff,13.9,14.15,13.05,13.65,12.8,13.3,13.35,13.4,12.85,13.5,13.7,13.3,13.9,13.7,13.75,14,14.2,14.35,12.45,14.1,13.75,13.5,13.6,12.1,81.4,82.5,79.9,80.55
Kai Uemura,13.05,12.8,13.05,12.95,10.05,10,13.25,13,12.8,13.05,12.85,12.95,12.55,13.35,13.55,13.75,13.8,13.7,11.75,13.75,12.9,12,13.2,13.15,75.15,74.9,77.65,79.55
Kiran Mandava,13.2,13.15,12.7,13.15,13.35,11.2,12,13.05,12.65,13.1,12.8,12.95,13.3,13.8,13.9,13.9,13.25,13.35,13.5,13.8,13.15,12.65,11.9,13.1,78.9,77.25,76.8,79.95
Tate Costa,11.8,12.2,12.25,13.6,8.9,12.2,12.65,10.2,11.3,12.4,11.45,12.6,13.55,13.65,13.4,13.5,11.35,13.5,13.2,13.15,10.6,12.85,13.15,13.6,67.5,77.4,76.1,76.65
Khoi Young,14.15,14.25,13.5,14.45,12.6,15,11.65,14.25,13.2,13.6,13,,14.8,14.85,14.95,15.1,14.9,14.9,14.4,14.55,13.75,13.55,12.1,13.25,83.4,86.15,79.6,71.6
Curran Phillips,13.25,,12.2,13.55,,,,,,,,,13.5,,14.4,13.1,15.5,,15.6,15.65,13.1,,12.4,14.1,55.35,,54.6,56.4
Joshua Karnes,13,12.95,,,13.15,12.55,13.1,12.95,12.85,13.6,,,10.75,13.65,,,14.6,14.45,14.4,14.4,13.6,12.3,13.15,13.55,77.95,79.5,40.65,40.9
Patrick Hoopes,,,,,14.95,14.3,14.45,15,,,,,,,,,,,,,,,,,14.95,14.3,14.45,15
Stephen Nedoroscik,,,,,15.4,14.6,14.45,14.85,,,,,,,,,,,,,,,,,15.4,14.6,14.45,14.85
Alex Diab,,,,,,,,,14.8,14.65,14.6,14.45,,,,,,,,,,,,,14.8,14.65,14.6,14.45